datetime,Date,SDGE,year,month,day,hour,weekday,season,holiday
2019-01-01 00:00:00,2019-01-01 00:00:00,2372.4974105553847,2019,1,1,0,Tuesday,winter,1
2019-01-01 01:00:00,2019-01-01 01:00:00,2698.751136890299,2019,1,1,1,Tuesday,winter,0
2019-01-01 02:00:00,2019-01-01 02:00:00,2777.6721197891784,2019,1,1,2,Tuesday,winter,0
2019-01-01 03:00:00,2019-01-01 03:00:00,2799.193828539302,2019,1,1,3,Tuesday,winter,0
2019-01-01 04:00:00,2019-01-01 04:00:00,2761.8833215988643,2019,1,1,4,Tuesday,winter,0
2019-01-01 05:00:00,2019-01-01 05:00:00,2300.8700958119807,2019,1,1,5,Tuesday,winter,0
2019-01-01 06:00:00,2019-01-01 06:00:00,1955.8601201723427,2019,1,1,6,Tuesday,winter,0
2019-01-01 07:00:00,2019-01-01 07:00:00,1707.8676713747816,2019,1,1,7,Tuesday,winter,0
2019-01-01 08:00:00,2019-01-01 08:00:00,1663.9621099772833,2019,1,1,8,Tuesday,winter,0
2019-01-01 09:00:00,2019-01-01 09:00:00,1670.2209770938443,2019,1,1,9,Tuesday,winter,0
2019-01-01 10:00:00,2019-01-01 10:00:00,1736.0267636288122,2019,1,1,10,Tuesday,winter,0
2019-01-01 11:00:00,2019-01-01 11:00:00,1779.3828401776848,2019,1,1,11,Tuesday,winter,0
2019-01-01 12:00:00,2019-01-01 12:00:00,1937.7555344326531,2019,1,1,12,Tuesday,winter,0
2019-01-01 13:00:00,2019-01-01 13:00:00,1858.500053126142,2019,1,1,13,Tuesday,winter,0
2019-01-01 14:00:00,2019-01-01 14:00:00,2088.4537716980703,2019,1,1,14,Tuesday,winter,0
2019-01-01 15:00:00,2019-01-01 15:00:00,1998.915397058836,2019,1,1,15,Tuesday,winter,0
2019-01-01 16:00:00,2019-01-01 16:00:00,1934.0571722400675,2019,1,1,16,Tuesday,winter,0
2019-01-01 17:00:00,2019-01-01 17:00:00,1891.8087510446417,2019,1,1,17,Tuesday,winter,0
2019-01-01 18:00:00,2019-01-01 18:00:00,2582.6934313156257,2019,1,1,18,Tuesday,winter,0
2019-01-01 19:00:00,2019-01-01 19:00:00,1969.9648790287324,2019,1,1,19,Tuesday,winter,0
2019-01-01 20:00:00,2019-01-01 20:00:00,2059.579137127924,2019,1,1,20,Tuesday,winter,0
2019-01-01 21:00:00,2019-01-01 21:00:00,2040.643947209616,2019,1,1,21,Tuesday,winter,0
2019-01-01 22:00:00,2019-01-01 22:00:00,1898.7949151486016,2019,1,1,22,Tuesday,winter,0
2019-01-01 23:00:00,2019-01-01 23:00:00,2060.56125794699,2019,1,1,23,Tuesday,winter,0
2019-01-02 00:00:00,2019-01-02 00:00:00,2485.555484393764,2019,1,2,0,Wednesday,winter,0
2019-01-02 01:00:00,2019-01-02 01:00:00,2721.29094447837,2019,1,2,1,Wednesday,winter,0
2019-01-02 02:00:00,2019-01-02 02:00:00,2892.607242446865,2019,1,2,2,Wednesday,winter,0
2019-01-02 03:00:00,2019-01-02 03:00:00,2959.7894683949753,2019,1,2,3,Wednesday,winter,0
2019-01-02 04:00:00,2019-01-02 04:00:00,3012.9992868389127,2019,1,2,4,Wednesday,winter,0
2019-01-02 05:00:00,2019-01-02 05:00:00,2954.0918308751284,2019,1,2,5,Wednesday,winter,0
2019-01-02 06:00:00,2019-01-02 06:00:00,2566.5110041279054,2019,1,2,6,Wednesday,winter,0
2019-01-02 07:00:00,2019-01-02 07:00:00,2301.0330089478152,2019,1,2,7,Wednesday,winter,0
2019-01-02 08:00:00,2019-01-02 08:00:00,2137.8734065089593,2019,1,2,8,Wednesday,winter,0
2019-01-02 09:00:00,2019-01-02 09:00:00,2037.481751402084,2019,1,2,9,Wednesday,winter,0
2019-01-02 10:00:00,2019-01-02 10:00:00,2186.0334533035425,2019,1,2,10,Wednesday,winter,0
2019-01-02 11:00:00,2019-01-02 11:00:00,2148.2739676675656,2019,1,2,11,Wednesday,winter,0
2019-01-02 12:00:00,2019-01-02 12:00:00,2057.256185707499,2019,1,2,12,Wednesday,winter,0
2019-01-02 13:00:00,2019-01-02 13:00:00,1981.5566255458016,2019,1,2,13,Wednesday,winter,0
2019-01-02 14:00:00,2019-01-02 14:00:00,1909.782462239934,2019,1,2,14,Wednesday,winter,0
2019-01-02 15:00:00,2019-01-02 15:00:00,1924.0080407733576,2019,1,2,15,Wednesday,winter,0
