,Date,SDGE,year,month,day,hour,weekday,season,holiday,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyWindSpeed
0,2019-01-01 00:00:00,2372.4974105553847,2019,1,1,0,Tuesday,winter,1,49.0,71.0,0.0
1,2019-01-01 01:00:00,2698.751136890299,2019,1,1,1,Tuesday,winter,0,47.0,77.0,5.0
2,2019-01-01 02:00:00,2777.6721197891784,2019,1,1,2,Tuesday,winter,0,47.0,63.0,6.0
3,2019-01-01 03:00:00,2799.193828539302,2019,1,1,3,Tuesday,winter,0,47.0,52.0,6.0
4,2019-01-01 04:00:00,2761.8833215988643,2019,1,1,4,Tuesday,winter,0,46.5,51.5,5.5
5,2019-01-01 05:00:00,2300.8700958119807,2019,1,1,5,Tuesday,winter,0,48.0,39.0,8.0
6,2019-01-01 06:00:00,1955.8601201723427,2019,1,1,6,Tuesday,winter,0,45.0,48.0,8.0
7,2019-01-01 07:00:00,1707.8676713747816,2019,1,1,7,Tuesday,winter,0,47.0,41.0,7.0
8,2019-01-01 08:00:00,1663.9621099772833,2019,1,1,8,Tuesday,winter,0,52.0,30.0,8.0
9,2019-01-01 09:00:00,1670.2209770938443,2019,1,1,9,Tuesday,winter,0,55.0,22.0,8.0
10,2019-01-01 10:00:00,1736.0267636288122,2019,1,1,10,Tuesday,winter,0,56.0,21.0,7.5
11,2019-01-01 11:00:00,1779.3828401776848,2019,1,1,11,Tuesday,winter,0,60.0,16.0,9.0
12,2019-01-01 12:00:00,1937.7555344326531,2019,1,1,12,Tuesday,winter,0,60.0,14.0,14.0
13,2019-01-01 13:00:00,1858.500053126142,2019,1,1,13,Tuesday,winter,0,60.0,14.0,17.0
14,2019-01-01 14:00:00,2088.4537716980703,2019,1,1,14,Tuesday,winter,0,60.0,14.0,13.0
15,2019-01-01 15:00:00,1998.915397058836,2019,1,1,15,Tuesday,winter,0,59.0,13.0,13.0
16,2019-01-01 16:00:00,1934.0571722400675,2019,1,1,16,Tuesday,winter,0,57.5,14.5,10.5
17,2019-01-01 17:00:00,1891.8087510446417,2019,1,1,17,Tuesday,winter,0,55.0,16.0,6.0
18,2019-01-01 18:00:00,2582.6934313156257,2019,1,1,18,Tuesday,winter,0,53.0,19.0,5.0
19,2019-01-01 19:00:00,1969.9648790287324,2019,1,1,19,Tuesday,winter,0,52.0,18.0,9.0
20,2019-01-01 20:00:00,2059.579137127924,2019,1,1,20,Tuesday,winter,0,51.0,21.0,6.0
21,2019-01-01 21:00:00,2040.643947209616,2019,1,1,21,Tuesday,winter,0,50.0,21.0,9.0
22,2019-01-01 22:00:00,1898.7949151486016,2019,1,1,22,Tuesday,winter,0,50.5,19.0,8.5
23,2019-01-01 23:00:00,2060.56125794699,2019,1,1,23,Tuesday,winter,0,49.95797001810709,19.242728799506782,7.0
24,2019-01-02 00:00:00,2485.555484393764,2019,1,2,0,Wednesday,winter,0,49.0,21.0,6.0
25,2019-01-02 01:00:00,2721.29094447837,2019,1,2,1,Wednesday,winter,0,46.0,26.0,0.0
26,2019-01-02 02:00:00,2892.607242446865,2019,1,2,2,Wednesday,winter,0,46.0,27.0,0.0
27,2019-01-02 03:00:00,2959.7894683949753,2019,1,2,3,Wednesday,winter,0,43.0,35.0,7.0
28,2019-01-02 04:00:00,3012.9992868389127,2019,1,2,4,Wednesday,winter,0,42.5,36.5,3.5
29,2019-01-02 05:00:00,2954.0918308751284,2019,1,2,5,Wednesday,winter,0,44.0,35.0,0.0
30,2019-01-02 06:00:00,2566.5110041279054,2019,1,2,6,Wednesday,winter,0,44.0,35.0,0.0
31,2019-01-02 07:00:00,2301.0330089478152,2019,1,2,7,Wednesday,winter,0,46.0,31.0,0.0
32,2019-01-02 08:00:00,2137.8734065089593,2019,1,2,8,Wednesday,winter,0,51.0,24.0,0.0
33,2019-01-02 09:00:00,2037.481751402084,2019,1,2,9,Wednesday,winter,0,55.0,18.0,3.0
34,2019-01-02 10:00:00,2186.0334533035425,2019,1,2,10,Wednesday,winter,0,56.5,17.0,4.5
35,2019-01-02 11:00:00,2148.2739676675656,2019,1,2,11,Wednesday,winter,0,61.0,20.0,9.0
36,2019-01-02 12:00:00,2057.256185707499,2019,1,2,12,Wednesday,winter,0,61.0,21.0,11.0
37,2019-01-02 13:00:00,1981.5566255458016,2019,1,2,13,Wednesday,winter,0,61.0,25.0,10.0
38,2019-01-02 14:00:00,1909.782462239934,2019,1,2,14,Wednesday,winter,0,60.0,28.0,9.0
39,2019-01-02 15:00:00,1924.0080407733576,2019,1,2,15,Wednesday,winter,0,59.0,33.0,6.0
40,2019-01-02 16:00:00,2008.4707799655896,2019,1,2,16,Wednesday,winter,0,58.5,30.0,5.5
41,2019-01-02 17:00:00,2055.564677952748,2019,1,2,17,Wednesday,winter,0,56.0,32.0,0.0
42,2019-01-02 18:00:00,2464.7761192573316,2019,1,2,18,Wednesday,winter,0,55.0,37.0,3.0
43,2019-01-02 19:00:00,2582.8192538217404,2019,1,2,19,Wednesday,winter,0,53.0,41.0,3.0
44,2019-01-02 20:00:00,2525.387336746988,2019,1,2,20,Wednesday,winter,0,53.0,41.0,3.0
45,2019-01-02 21:00:00,2345.4749636778524,2019,1,2,21,Wednesday,winter,0,52.0,38.0,3.0
46,2019-01-02 22:00:00,2213.703019788803,2019,1,2,22,Wednesday,winter,0,51.0,40.5,3.0
47,2019-01-02 23:00:00,2106.4434417625826,2019,1,2,23,Wednesday,winter,0,48.87731864015045,43.857054934251764,1.5
48,2019-01-03 00:00:00,2462.308051353932,2019,1,3,0,Thursday,winter,0,48.0,44.0,0.0
49,2019-01-03 01:00:00,2681.4642689301654,2019,1,3,1,Thursday,winter,0,46.0,46.0,0.0
50,2019-01-03 02:00:00,2852.4001323295765,2019,1,3,2,Thursday,winter,0,45.0,48.0,0.0
51,2019-01-03 03:00:00,2918.427807594312,2019,1,3,3,Thursday,winter,0,45.0,42.0,5.0
52,2019-01-03 04:00:00,2964.897643860053,2019,1,3,4,Thursday,winter,0,45.0,41.0,5.0
53,2019-01-03 05:00:00,2901.7332699099816,2019,1,3,5,Thursday,winter,0,44.0,43.0,0.0
54,2019-01-03 06:00:00,2522.2308051848504,2019,1,3,6,Thursday,winter,0,44.0,40.0,5.0
55,2019-01-03 07:00:00,2256.4298413755455,2019,1,3,7,Thursday,winter,0,46.0,37.0,0.0
56,2019-01-03 08:00:00,2027.750455582584,2019,1,3,8,Thursday,winter,0,51.0,31.0,0.0
57,2019-01-03 09:00:00,2031.6226517436817,2019,1,3,9,Thursday,winter,0,57.0,29.0,3.0
58,2019-01-03 10:00:00,2154.6071200316474,2019,1,3,10,Thursday,winter,0,58.5,29.5,3.0
59,2019-01-03 11:00:00,2270.2589471067517,2019,1,3,11,Thursday,winter,0,61.0,27.0,6.0
60,2019-01-03 12:00:00,2060.4036433514316,2019,1,3,12,Thursday,winter,0,62.0,22.0,4.0
61,2019-01-03 13:00:00,2064.6343408183625,2019,1,3,13,Thursday,winter,0,64.0,13.0,8.0
62,2019-01-03 14:00:00,2022.800457858022,2019,1,3,14,Thursday,winter,0,63.0,16.0,8.0
63,2019-01-03 15:00:00,2117.6085865331443,2019,1,3,15,Thursday,winter,0,62.0,17.0,7.0
64,2019-01-03 16:00:00,2020.2216442649728,2019,1,3,16,Thursday,winter,0,61.0,24.5,6.0
65,2019-01-03 17:00:00,2532.536558507799,2019,1,3,17,Thursday,winter,0,57.0,41.0,5.0
66,2019-01-03 18:00:00,2636.420074652062,2019,1,3,18,Thursday,winter,0,56.0,42.0,0.0
67,2019-01-03 19:00:00,2549.3776335970697,2019,1,3,19,Thursday,winter,0,54.0,47.0,0.0
68,2019-01-03 20:00:00,2378.132585357697,2019,1,3,20,Thursday,winter,0,52.0,50.0,0.0
69,2019-01-03 21:00:00,2215.4790973928943,2019,1,3,21,Thursday,winter,0,52.0,55.0,3.0
70,2019-01-03 22:00:00,2276.4865644095703,2019,1,3,22,Thursday,winter,0,51.0,57.0,1.5
71,2019-01-03 23:00:00,2522.6693015047535,2019,1,3,23,Thursday,winter,0,48.898443391284694,55.34521937490328,0.0
72,2019-01-04 00:00:00,2153.3748825144594,2019,1,4,0,Friday,winter,0,48.0,56.0,0.0
73,2019-01-04 01:00:00,2285.83824739647,2019,1,4,1,Friday,winter,0,46.0,58.0,3.0
74,2019-01-04 02:00:00,2858.9537455114764,2019,1,4,2,Friday,winter,0,46.0,56.0,0.0
75,2019-01-04 03:00:00,2067.5189995625037,2019,1,4,3,Friday,winter,0,45.0,56.0,0.0
76,2019-01-04 04:00:00,2790.906317736921,2019,1,4,4,Friday,winter,0,44.5,55.5,0.0
